Medical Term,Meaning,llama_explanation
LDL (Low,"Density Lipoprotein): A type of cholesterol, often referred to as ""bad"" cholesterol, associated with heart disease risk.","

This is the ""bad"" kind of cholesterol that can build up in your blood vessels, making them narrow and hard. It's like having a clogged pipe, and it can lead to heart problems if it gets too bad. Eating healthy and exercising can help keep it under control."
LFT (Liver Function Test),A group of blood tests measuring liver health and function.,"This test checks how well your liver is working. The liver helps remove bad things from your blood, like toxins and waste. The test looks at your blood to see if your liver is doing its job properly, and if it's not, it can help doctors figure out why."
LGA (Large for Gestational Age),A condition where a baby is larger than expected for their gestational age.,"This means that a baby is bigger than expected for how far along the pregnancy is. The baby is growing more quickly than usual, so it's larger than most babies at the same stage of development."
LH (Luteinizing Hormone),Hormone that triggers ovulation in females and testosterone production in males.,"

This hormone helps trigger the release of an egg from the ovaries in women, making it possible to get pregnant. It also helps produce testosterone in men, which is important for male fertility and development."
LHRH (Luteinizing Hormone,Releasing Hormone): Hormone that stimulates the release of luteinizing hormone.,"

This hormone helps control when a woman's body is ready to release an egg from the ovaries, which is necessary for getting pregnant. It's like a signal that tells the body it's time to prepare for a potential pregnancy."
LI (Lamellar Ichthyosis),"A genetic skin disorder causing thick, scaly skin.","

Imagine your skin is like a layer of dry, rough, and scaly paper. It's super tight and can crack, causing pain and itchiness. It's like having a permanent, bad case of dry skin that never goes away, and it can be very uncomfortable and affect your daily life."
LIP (Lymphoid Interstitial Pneumonitis),A rare lung disease involving the inflammation of lymphoid tissue.,"

In this condition, the air sacs in the lungs get inflamed and fill with abnormal immune cells. This makes it hard to breathe and can cause coughing, fatigue, and weight loss. It's like having a constant chest cold that won't go away."
LKM (Liver/Kidney Microsomal Antibodies),Antibodies found in autoimmune hepatitis and other liver diseases.,"

Some people's immune systems mistakenly attack their own liver and kidneys, thinking they're foreign invaders. This can harm these organs and cause problems. It's like their body's defense system is firing at the wrong targets, causing damage to important organs."
LKS (Landau-Kleffner syndrome),"A rare childhood neurological disorder characterized by the sudden or gradual loss of language skills, often accompanied by abnormal electrical activity in the brain.","This is a rare condition that affects children. It causes them to suddenly lose their ability to understand and speak language, even though they were speaking normally before. It's like their language skills just disappear. Sometimes, they may also have seizures."
LMW (X-linked lymphoproliferative),"A genetic disorder affecting the immune system, leading to uncontrolled growth of lymphocytes (a type of white blood cell), often triggered by infections like Epstein-Barr virus.","This is a rare condition where the body can't fight off certain infections, especially one caused by a common virus. It affects boys and men, and can cause the immune system to go into overdrive, leading to severe inflammation and damage to organs like the liver and bone marrow."
LOC (Level of consciousness),"A medical term referring to a patient's awareness of self and environment, used to assess neurological function, especially in coma or head injury patients.","It's a measure of how awake and alert someone is. It ranges from fully awake and aware, to drowsy, confused, or even coma-like. Doctors use it to check how well a person can respond to their surroundings, understand what's happening, and react to stimuli."
LOS (Lower oesophageal sphincter),A muscle at the junction of the esophagus and stomach that prevents the backflow of stomach contents into the esophagus.,"

There's a ring-like muscle at the bottom of the food pipe that acts like a gate. It normally stays closed, but opens when you swallow to let food pass into the stomach. If it doesn't work properly, stomach acid can flow back up into the food pipe, causing discomfort."
LP (Lumbar puncture),A procedure where a needle is inserted into the lumbar area of the spine to collect cerebrospinal fluid (CSF) for diagnostic purposes.,"A doctor inserts a small needle into the lower back to collect a sample of the fluid that surrounds the spine and brain. This helps them check for infections or other problems. It might feel a bit uncomfortable, but it only takes a few minutes and can provide important information."
LR (Likelihood ratio),"A statistical measure used in diagnostic testing to assess the accuracy of a test result, indicating how much more likely a positive or negative result is in a diseased vs. non-diseased patient.","

Imagine you have a test to see if you have a certain condition. The result can be positive or negative. This measures how well a positive result predicts you actually have the condition, and how well a negative result rules it out."
LRD (Living related donor),"A person who donates an organ or tissue to a family member, typically a kidney or liver.","This is when a family member, like a parent, sibling, or child, donates a part of their body, like a kidney, to help a loved one who needs it. They go through surgery to remove the part, and it's then given to the person in need."
LRTI (Lower respiratory tract infection),"Infections that affect the lower respiratory system, including the trachea, bronchi, and lungs, such as pneumonia or bronchitis.","

It's an infection that affects the tubes and air sacs in your lungs, making it hard to breathe. You might feel tired, cough a lot, and have chest pain or congestion. It's like having a bad cold, but deeper in your lungs."
LS (Linear scleroderma),"A form of scleroderma (a connective tissue disorder) that causes localized, linear thickening and hardening of the skin.","This is a rare condition that affects the skin and underlying tissues. It causes a line or streak of hardened, thickened skin that can be discolored and may have a groove or depression. It usually starts in childhood and can spread slowly over time, sometimes affecting muscles and bones."
LSCS (Lower segment Caesarean section),"A type of cesarean section (C-section) where the incision is made in the lower, thinner part of the uterus.","A surgical delivery where the baby is born through an incision in the mother's lower abdomen, typically when a vaginal birth is not possible. This method allows the baby to be safely delivered while minimizing risks to the mother."
LSE (Left sternal edge),"The area along the left edge of the sternum (breastbone) often referenced during physical exams, especially in cardiac auscultation.","The area being referred to is the left side of your chest, just below your collarbone. It's the spot where your ribcage meets your breastbone. If you place your hand on your chest, you'll feel a slight bump there - that's the area in question."
M4Eo (Acute myelomonocytic leukaemia with eosinophilia),"A subtype of leukemia that involves an increase in eosinophils (a type of white blood cell) in addition to myelomonocytic cells, which are precursors to certain blood cells.","This is a type of blood cancer where the bone marrow makes abnormal cells that don't work properly. These cells grow quickly and can crowd out healthy cells, causing problems like anemia, infections, and bleeding. It's a serious condition that needs treatment to help the body produce healthy blood cells again."
MA (Microalbuminuria),"The presence of a small amount of albumin (a type of protein) in the urine, often an early sign of kidney disease.","

When your kidneys are not working properly, tiny amounts of protein leak into your urine. This is a sign that your kidneys are damaged and not filtering waste correctly. It's like a warning signal that your kidneys need attention to prevent further damage."
MAG-3 (Mercaptoacetyltriglycine),A radiopharmaceutical used in renal scintigraphy (a kidney scan) to evaluate kidney function and structure.,"

It's a special liquid that helps doctors take pictures of your kidneys and see how well they're working. It's injected into your vein and then shows up on a special camera, letting the doctor see how your kidneys filter waste and work properly."
MAHA (Microangiopathic haemolytic anaemia),"A condition where small blood vessels are damaged, leading to the destruction of red blood cells, often seen in conditions like hemolytic uremic syndrome.","

This is a condition where tiny blood vessels get damaged, causing red blood cells to break apart. The damaged vessels are like tiny traps that crush the cells, leading to anemia (low red blood cell count). This can cause fatigue, pale skin, and shortness of breath."
MAOI (Monoamine oxidase inhibitor),"A class of drugs that inhibit the enzyme monoamine oxidase, often used in the treatment of depression and other mood disorders.","This type of medication helps regulate brain chemicals that affect mood. It works by stopping the breakdown of certain chemicals, which can help relieve depression and anxiety. It allows good feelings to last longer, making it easier to feel happy and calm."
MAP (Mean airway pressure),"The average pressure in the airways during one complete respiratory cycle, important in mechanical ventilation settings.","

When you're on a breathing machine, it pushes air into your lungs to help you breathe. The machine creates a certain level of pressure to keep your airways open, so oxygen can get in and carbon dioxide can get out. This pressure is important to help you breathe properly."
MAS (Meconium aspiration syndrome),"A condition in newborns where meconium (the first stool) is inhaled into the lungs, causing respiratory problems.","When a baby is born, they sometimes breathe in a dark, sticky substance from their own digestive system. This can cause problems with their lungs and make it hard for them to breathe. It can be very serious and even life-threatening if not treated quickly."
MCAD (Medium chain acyl-CoA dehydrogenase deficiency),"A metabolic disorder that affects the body's ability to break down medium-chain fatty acids, leading to low blood sugar and energy production.","

Some people's bodies have trouble breaking down the fats they eat, which can lead to serious health problems. This happens because their body is missing a special helper that's supposed to make energy from fat. Without it, toxins can build up and cause harm."
McAS (McCune-Albright syndrome),"A genetic disorder that causes bone fractures, skin pigmentation changes, and hormonal problems, often leading to early puberty.","This is a rare condition where some parts of the body grow too much or at an uneven rate. It can cause problems like bone deformities, hormonal imbalances, and skin spots. It's usually diagnosed in childhood and can affect different people in different ways."
MCD (Minimal change disease),"A kidney disease that results in nephrotic syndrome, characterized by a loss of proteins in the urine, but with minimal change seen under a microscope.","

A type of kidney problem where the tiny filters in the kidneys get a bit mixed up and start leaking too much protein into the urine. This can cause swelling and other issues. It's usually not serious and can be treated with medication."
MCDK (Multicystic dysplastic kidneys),"A condition where one or both kidneys develop numerous cysts and fail to function properly, often detected in newborns.","Some babies are born with kidneys that didn't grow correctly. Instead of working properly, they are filled with fluid-filled sacs and don't filter waste from the blood. This can cause problems and usually, doctors recommend removing the kidneys to prevent infections and other complications."
MCH (Mean Cell Hemoglobin),"A measure of the average amount of hemoglobin in each red blood cell, often used in blood tests to assess anemia.","This measures the average amount of a vital protein called hemoglobin in each red blood cell. Hemoglobin carries oxygen from lungs to body parts. A normal amount helps red blood cells work properly, while too little or too much can cause problems."
MCHC (Mean Corpuscular Hemoglobin Concentration),A calculation that measures the average concentration of hemoglobin in a given volume of red blood cells.,"MCHC is a measure of how much oxygen-carrying stuff is packed inside your red blood cells. Think of it like a suitcase - if it's too full, it's hard to fit more in, and if it's too empty, there's not enough to carry around. It helps doctors check if your blood cells are working properly."
MCP (Metacarpal Phalangeal joint),The joint between the metacarpal bones of the hand and the phalanges (finger bones).,"This is the joint that connects your hand to your fingers. It's the bendy part where your fingers meet your hand. When you bend your fingers, you're moving this joint. It helps you grasp and hold things."
"M, C&S (Microscopy, Culture, and Sensitivity)","A laboratory test to examine a sample (e.g., urine, blood) for microorganisms (microscopy), grow them (culture), and determine which antibiotics are effective (sensitivity).","A lab test to check for infections. It looks at a sample under a microscope to see if there are any bad cells. Then, it grows the sample in a special dish to see what's causing the problem. Finally, it checks what medicines can kill the bad cells to make you feel better."
MCTD (Mixed Connective Tissue Disease),"An autoimmune disease that features overlapping symptoms of lupus, scleroderma, and polymyositis.","It's a condition where your immune system mistakenly attacks your body's connective tissues, causing problems in multiple areas, such as joints, muscles, skin, and organs. It's like your body's defense system is misfiring, causing inflammation and damage to various parts, leading to pain, fatigue, and other symptoms."
MCUG (Micturating Cystourethrography),"A diagnostic imaging procedure to examine the bladder and urethra during urination, often used to detect urinary tract abnormalities.","This test uses X-rays to take pictures of the bladder and tubes that carry urine out of the body. A special liquid is put into the bladder through a tiny tube, and then X-rays are taken while urine is being released. It helps doctors see if there are any problems with the urinary system."
MCV (Mean Cell Volume),"A measurement of the average volume of a red blood cell, commonly used in blood tests to help diagnose different types of anemia.","

MCV measures the average size of your red blood cells. Think of it like the size of a room. If the ""room"" is too small, your body might not get enough oxygen. If it's too big, your body might not work efficiently. A normal size is just right for your body to work properly."
MD (Meckel’s Diverticulum),"A congenital abnormality where a small pouch forms in the lower part of the small intestine, often causing digestive issues.","Some people are born with a small pouch in their intestine that didn't close up properly while they were growing inside their mother's womb. This pouch can cause problems like pain, bleeding, or blockages if food gets stuck in it. It's like having a small extra pocket in your gut that can cause trouble."
MDI (Metered Dose Inhaler),"A device used to deliver a specific amount of medication (e.g., a bronchodilator or corticosteroid) into the lungs, commonly used for asthma and COPD.",A device that helps people with breathing problems breathe easier. It's a small canister with a mouthpiece that you press down on to release a measured amount of medicine as a fine spray. You inhale the medicine through your mouth to help open up your airways and make breathing easier.
MDP (Myeloproliferative Disorder),"A group of diseases in which the bone marrow makes too many red blood cells, white blood cells, or platelets, potentially leading to leukemia.","This is a condition where your bone marrow produces too many blood cells, which can lead to problems like anemia, bleeding, or blood clots. It's like a factory producing too many cars, causing congestion and accidents. The bone marrow gets out of control, making too many cells that can harm your body."
MDS (Myelodysplastic Syndrome),"A group of disorders caused by poorly formed or dysfunctional blood cells, which can lead to anemia, infections, and bleeding.","

It's a condition where your bone marrow doesn't make healthy blood cells. Instead, it produces abnormal or immature cells that can't do their job. This can lead to problems like anemia, infections, and bleeding. It's like having a faulty factory that can't produce good quality products."
MeA (Mesenteric Adenitis),"Inflammation of the lymph nodes in the mesentery, typically causing abdominal pain and often mimicking appendicitis.","MeA is when the lymph nodes in your belly get swollen and painful. This can happen when your body is fighting an infection, like a bad cold or flu. It can feel like a sharp pain in your lower stomach, and you might also feel nauseous or vomit."
MELAS (Mitochondrial Encephalopathy,"Lactic Acidosis and Stroke-like Episodes Syndrome) – A mitochondrial disorder characterized by neurological symptoms, lactic acidosis, and stroke-like episodes.","

This is a rare condition that affects the body's energy production. It can cause problems with the brain, muscles, and other organs. Symptoms may include seizures, muscle weakness, and vision loss. It can also lead to strokes, heart problems, and other serious health issues."
MEN (Multiple Endocrine Neoplasia),"A group of rare genetic disorders that cause tumors in multiple endocrine glands, leading to overproduction of hormones.","

Some people's bodies grow extra cells in different glands, like the thyroid, pancreas, or adrenal glands. These extra cells can form tumors, which can cause problems like too much hormone production, hormone imbalances, or even cancer."
MFS (Marfan Syndrome),"A genetic disorder that affects connective tissue, causing issues with the heart, eyes, blood vessels, and skeleton.","It's a condition where the body's connective tissue doesn't work properly. This affects many parts, like the heart, eyes, and skeleton. People with this condition might be very tall and thin, and have loose joints. They might also have problems with their heart valves, vision, and bones breaking easily."
MGN (Membranous Glomerulonephritis),"A kidney disorder characterized by inflammation and damage to the glomeruli (filtering units of the kidney), leading to protein loss in the urine.","

A problem in the tiny filters of the kidneys causes them to get damaged and leaky. This makes it hard for the kidneys to clean the blood properly, leading to waste building up in the body. It can make you feel unwell and can even cause the kidneys to stop working if not treated."
MIBG (Meta-iodo-benzylguanidine),A radioactive compound used in imaging tests to identify neuroendocrine tumors.,"

It's a special type of medicine that helps find and treat certain types of cancer. This medicine attaches itself to cancer cells and shows up on special pictures, like an X-ray, so doctors can see where the cancer is."
MLD (Metachromatic Leukodystrophy),"A rare genetic disorder that affects the nervous system, leading to the loss of white matter in the brain and spinal cord.","of MLD in simple language:

It's a rare condition where the body can't break down certain fats, causing them to build up in the brain, spinal cord, and nerves. This disrupts communication between nerve cells, leading to problems with movement, thinking, and behavior, and can cause serious disability and even death."
MMA (Methylmalonic Acidaemia),"A genetic metabolic disorder where the body is unable to break down certain fats and proteins, leading to the buildup of methylmalonic acid.","

There's a problem in the body where it can't break down certain foods properly, like protein and fat. This causes a buildup of bad stuff that can harm the body, leading to serious health issues if left untreated. It's usually found in babies and young kids."
MMF (Mycophenolate Mofetil),An immunosuppressive drug used to prevent organ rejection following transplants and to treat autoimmune diseases.,"This medicine helps prevent your immune system from attacking a transplanted organ, like a kidney. It reduces the risk of your body rejecting the new organ, allowing it to function properly and keeping you healthy."
"MMR (Measles, Mumps, Rubella)","A combination vaccination used to protect against measles, mumps, and rubella (a viral infection that affects the respiratory system, salivary glands, and skin).","This is a vaccination that protects against three contagious diseases. One causes a rash and flu-like symptoms, another leads to painful and swollen glands, and the third can cause birth defects if a pregnant woman gets it. The vaccine helps prevent these serious illnesses."
MODY (Maturity Onset Diabetes of the Young),"A form of diabetes that is genetically inherited and typically develops in adolescence or early adulthood, often due to mutations in specific genes.","

Some people's bodies stop producing enough insulin, a hormone that helps process sugar, when they're young. This happens because of genetic problems, not because of being overweight or inactive. It's like having a faulty sugar-processing system from the start, and it usually shows up in people under 25."
MPGN (Membranoproliferative Glomerulonephritis),"A type of kidney disease where the glomeruli are inflamed, leading to proteinuria, hematuria, and kidney dysfunction.","

Some people's kidneys get damaged because of a problem with the tiny filters inside them. These filters, which clean the blood, get thick and don't work properly. This can cause waste to build up in the body, leading to swelling, high blood pressure, and other issues."
MPH (Mid-Parental Height),"An estimate of a child's adult height based on the average height of both parents, used as a predictor for growth potential.",MPH is a way to predict how tall someone will grow based on their parents' heights. It's like a special number that combines Mom's height and Dad's height to give an idea of how tall their child will likely be when they're fully grown.
MPS (Mucopolysaccharidosis),"A group of inherited metabolic disorders where the body is unable to break down certain sugars, leading to a buildup in the tissues, affecting organs and causing developmental delay.","

Your body normally breaks down and gets rid of waste materials. But sometimes, it can't do this properly, and the waste builds up inside your cells. This can cause problems with how your body grows and works, and can lead to serious health issues if not treated."
MRD (Minimal Residual Disease),A term used in oncology to describe the small number of cancer cells remaining after treatment that are undetectable but can potentially lead to relapse.,"It's a test to see if there are still a few bad cells left in your body after treatment for a serious illness, even if you're feeling better. These cells can come back and make you sick again, so doctors want to find and get rid of them to make sure you stay healthy."
MRI (Magnetic Resonance Imaging),A non-invasive imaging technique that uses magnetic fields and radio waves to create detailed images of internal organs and tissues.,"A special machine takes pictures of the inside of your body. It uses strong magnets and radio waves to make these pictures. The machine is like a big, round tunnel that you slide into. It helps doctors see what's going on inside you, like if you've hurt something or if there's something wrong."
MSbP (Munchausen Syndrome by Proxy),A psychiatric disorder where a caregiver intentionally harms or fabricates illness in a child or dependent to gain attention or sympathy.,"This is when a caregiver, often a parent, pretends that their child is sick or hurt on purpose, even if they're not. They might even harm the child to make it seem like they're ill. This is a form of child abuse and can cause serious harm to the child."
MSH (Melanocyte-Stimulating Hormone),A hormone that stimulates melanocytes (cells that produce pigment in the skin) to increase pigmentation or tan.,"

This hormone helps control the color of your skin and hair. It tells cells called melanocytes to produce more melanin, which is what gives your skin and hair their color. It's like a messenger that says, ""Hey, make more color!"""
MSU (Midstream Urine),"A method of collecting urine for testing where the sample is obtained midstream, reducing contamination from the urethra.","When you pee into a cup for a lab test, the first and last bits of urine aren't typically used. Instead, the middle part is collected, which is cleaner and more representative of your urine. This helps doctors get a more accurate idea of what's going on inside your body."
MTHFR (Methyltetrahydrofolate Reductase),An enzyme involved in the metabolism of folate and homocysteine; mutations in this gene can lead to health issues like cardiovascular disease or pregnancy complications.,"

Your body has a special process to fix mistakes in your genetic code. This process helps your body work properly and stay healthy. It's like a proofreader that corrects errors in your body's instructions. If this process doesn't work well, you might have health problems."
MTP (Metatarsal Phalangeal joint),The joint connecting the metatarsal bones to the phalanges in the foot.,"

It's the joint that connects your toes to the long bones in your foot. It's the part that bends when you curl your toes or stand on your tiptoes. This joint helps you balance and move around."
MTX (Methotrexate),"A medication used to treat various conditions, including cancer, autoimmune diseases, and certain inflammatory disorders, by inhibiting cell growth and reducing inflammation.","This medicine helps slow down the growth of certain cells in your body that can cause problems. It's often used to treat conditions like arthritis, where your immune system is attacking your joints, or certain types of cancer, where cells are growing out of control."
NAGS (N-acetylglutamate synthetase deficiency),"A rare metabolic disorder that results from the lack of an enzyme needed to help process certain amino acids, leading to hyperammonemia and other neurological symptoms.","

This is a rare condition where the body can't make a special helper that tells it how to properly remove waste. As a result, waste builds up and can harm the body. It's usually caught at birth and can be managed with diet and treatment."
NAHI (Non-Accidental Head Injury),"Head injuries in children (or adults) that are intentionally caused by trauma or abuse, rather than accidental causes.","This is a serious injury to the head or brain that happens when someone hurts a child on purpose, not by accident. It's often caused by shaking, hitting, or throwing the child, which can cause bleeding, swelling, or even death. It's a form of child abuse."
NAI (Non-Accidental Injury),"Any injury inflicted deliberately, often referring to cases of child abuse or elder abuse, where the injury is not the result of an accident.","This refers to harm or injuries caused to someone, usually a child, by another person on purpose, not by accident. It means someone intentionally hurt the person, such as hitting, shaking, or throwing them, which resulted in injuries."
NAIT (Neonatal Alloimmune Thrombocytopenia),"A condition in newborns where the mother’s immune system attacks the baby’s platelets, leading to low platelet counts and bleeding.","Some babies are born with too few platelets, which help blood clot. This happens when their mom's immune system mistakes their platelets for foreign substances and attacks them. As a result, the baby's platelets get destroyed, causing bleeding problems."
NC (Nasal Cannula),"A device used to deliver supplemental oxygen to individuals who have difficulty breathing, typically through two small tubes inserted into the nostrils.",It's a small tube that goes into your nostrils to help you breathe. It's connected to an oxygen tank and gently blows air into your nose to help you get more oxygen. This can be helpful if you have trouble breathing or need extra oxygen.
NCStE (Convulsive Status Epilepticus),A prolonged seizure episode that does not stop on its own and requires urgent medical treatment to prevent brain damage or death.,"Imagine your body is having a continuous, non-stop seizure that doesn't stop. Your muscles are tightening and relaxing rapidly, causing convulsions, and you're not in control. This can be life-threatening and needs immediate medical attention. It's like your body is stuck in a never-ending, violent shaking episode."
NEC (Necrotizing Enterocolitis),"A serious gastrointestinal disease in premature infants where parts of the intestine become inflamed and start to die, often requiring surgery.","

A serious problem that can happen in newborn babies, especially premature ones. The lining of the intestines gets damaged, causing a hole in the intestine wall. This lets bacteria and food go into the belly, causing infection, pain, and potentially life-threatening complications."
NF (Neurofibromatosis),"A genetic disorder that causes tumors to form on nerve tissue. There are two types: NF1 (classic) and NF2 (less common, leading to hearing loss and other symptoms).","This is a condition where tumors grow on nerve cells in the body. These tumors can cause a range of problems, from benign skin bumps to serious disabilities. They can affect many parts of the body, including the skin, eyes, and nervous system, and can cause pain, numbness, and other symptoms."
NFCS (Neonatal Facial Coding Scale),A scale used to assess pain and discomfort in newborns by analyzing facial expressions.,"This is a way to figure out how much pain a newborn baby is feeling. It's based on the baby's facial expressions, like a scrunched-up face or wide-open eyes. By looking at these expressions, doctors can tell if the baby is in pain and needs help."
NG (Nasogastric),"Refers to the tube or feeding tube inserted through the nose into the stomach, often used to provide nutrition, medication, or drainage.","A thin tube is inserted through the nose and down into the stomach to help with eating, taking medicine, or removing fluids. This tube allows food, medicine, or liquid to go directly into the stomach, bypassing the mouth and throat."
NGT (Nasogastric Tube),"A tube that is inserted through the nose, down the esophagus, and into the stomach for feeding, draining, or administering medications.","A thin tube is inserted through the nose and down into the stomach to help with eating and digestion. It allows food and medicine to be given directly into the stomach, and can also remove stomach contents if needed."
NHL (Non-Hodgkin's Lymphoma),"A type of cancer that originates in the lymphatic system, often presenting with swollen lymph nodes and other systemic symptoms.","A type of cancer that affects the immune system, causing abnormal cells to grow and multiply in the body's lymph nodes, spleen, or other tissues. These cells can spread and affect various parts of the body, leading to symptoms like swollen lymph nodes, fever, and fatigue."
NIMH-MTS (National Institute of Mental Health-Multimodal Treatment Study),"A research study funded by the National Institute of Mental Health to explore various treatments for mental health disorders, typically focusing on child or adolescent populations.","This is a big research project that looked at how to best help kids who have trouble paying attention, sitting still, and controlling their impulses. It compared different ways of treating these issues, such as medication, therapy, and a combination of both, to see what works best."
NIPS (Neonatal and Infant Pain Scale),"A tool used to assess pain levels in newborns and infants by evaluating facial expressions, crying, and body movements.","This is a way to measure how much pain a newborn baby or infant is feeling. Doctors and nurses watch for certain signs, like facial expressions, body language, and breathing patterns, to figure out if the baby is uncomfortable or in distress."
NMJ (Neuromuscular Junction),The synapse or junction between a motor neuron and a muscle cell where neurotransmitters are released to stimulate muscle contraction.,"

It's the meeting point where the messages from your brain reach your muscles. It's like a connection point where the "" orders"" from your brain tell your muscles what to do, like move, relax, or tense up."
NNT (Number Needed to Treat),"A statistical measure used in clinical trials to describe the number of patients who need to be treated to prevent one additional bad outcome (e.g., death, heart attack).","

This number tells you how many people need to take a certain treatment or medicine for one person to actually benefit from it. For example, if the number is 10, it means that 10 people need to take the treatment for 1 person to get better."
NNU (Neonatal Unit),"A specialized unit within a hospital that provides care for newborns, particularly those who are premature, have low birth weight, or have health complications.",A special department in a hospital where newborn babies who are sick or need extra care are taken care of. The team of doctors and nurses closely monitor and treat these tiny patients to help them get better and go home with their families.
NS (Noonan Syndrome),"A genetic disorder that causes a variety of physical abnormalities, developmental delay, and potential heart problems.","This is a rare condition that affects how the body grows and develops. It can cause physical differences, such as unusual facial features and short stature, as well as heart problems and learning disabilities. It's often inherited from parents, but can also occur randomly."
NSAID (Non-Steroidal Anti-Inflammatory Drug),"A class of drugs used to reduce inflammation, pain, and fever (e.g., ibuprofen, aspirin).","These are medicines that help reduce pain, swelling, and fever. They work by blocking certain chemicals in the body that cause these problems. They're often used to relieve headaches, menstrual cramps, and joint pain. They're available over-the-counter or by prescription, and come in different forms like pills, creams, or patches."
NSE (Neuron-Specific Enolase),"An enzyme found in neurons and neuroendocrine cells, often used as a biomarker for neurological conditions like brain injury or neuroblastoma.","This is a type of protein found in nerve cells. When these cells are damaged or dying, they release this protein into the bloodstream. Measuring its levels can help doctors detect problems with the brain or nervous system, such as those related to injury or certain diseases."
